Lot No,prdcode,생산 완료 수량,생산일
M5057,BAOBL0000,1000,"Apr 29, 2025 12:00 AM"
,AOBL000,,
B5074,BAOBC0030,960,"Apr 22, 2025 12:00 AM"
B5074,AOBCM03,1893,"Apr 29, 2025 12:00 AM"
M5052,BAOBL0030,1050,"Apr 21, 2025 12:00 AM"
M5052,AOBLM03,,
B5088,PNPBC0020,1321,"May 13, 2025 12:00 AM"
B5089,PNPBC0080,1321,"May 13, 2025 12:00 AM"
C5101,BCHHC0020,530,"Apr 14, 2025 12:00 AM"
C5101,CHHC002,1046,"Apr 28, 2025 12:00 AM"
C5116,BCHHC0030,950,"Apr 24, 2025 12:00 AM"
M5062,BRMBL0060,1000,"May 7, 2025 12:00 AM"
M5059,RMBL014,1015,"May 8, 2025 12:00 AM"
C5116,CHHC003,1900,"Apr 28, 2025 12:00 AM"
B5057,PBTBC0060,980,"Apr 9, 2025 12:00 AM"
B5067,BRABC0040,610,"Apr 11, 2025 12:00 AM"
B5067,PRABC0040,1895,"Apr 22, 2025 12:00 AM"
M5053,RABD2T1,1893,"Apr 28, 2025 12:00 AM"
B5062,PRLBC0020,1235,"Apr 10, 2025 12:00 AM"
S5058,PFJSL0020,1995,"Apr 10, 2025 12:00 AM"
B5062,RLBC002,1234,"Apr 10, 2025 12:00 AM"
C5090,FJCR005,2160,"Apr 10, 2025 12:00 AM"
S5058,FJSL002,1994,"Apr 10, 2025 12:00 AM"
S5071,BTDM002,1350,"Apr 10, 2025 12:00 AM"
C5091,PFJCRM030,11501,"Apr 14, 2025 12:00 AM"
C5089,PFJCRM020,17500,"Apr 11, 2025 12:00 AM"
 S5071,PBTDM0020,950,"Apr 11, 2025 12:00 AM"
B5063,PRLBC0020,675,"Apr 10, 2025 12:00 AM"
B5063,RLBC002,674,"Apr 10, 2025 12:00 AM"
B5064,PMLHW0030,963,"Apr 11, 2025 12:00 AM"
S5070,PRRBM0010,2050,"Apr 11, 2025 12:00 AM"
S5072,PRRBM0020,2077,"Apr 11, 2025 12:00 AM"
C5098,PFJCRM060,,
B5071,BAOBC0050,2000,"Apr 21, 2025 12:00 AM"
H5031,AOSP002,770,"May 9, 2025 12:00 AM"
B5071,AOBC005,1946,"Apr 22, 2025 12:00 AM"
B5068,BFJCP0010,,
C5090,FJCR005,1080,"Apr 11, 2025 12:00 AM"
C5094,FJCRM02,3000,"Apr 14, 2025 12:00 AM"
S5073,PRRBM0120,2056,"Apr 14, 2025 12:00 AM"
C5094,PFJCRM020,3000,"Apr 14, 2025 12:00 AM"
H5027,BCCSP0010,1530,"Apr 29, 2025 12:00 AM"
H5027,PCCSP0010,,
H5026,BCCCC0010,310,"Apr 28, 2025 12:00 AM"
H5026,CCCC001,,
